Name,Ticker,Sector,Earnings Date,Pre / Post Market,Close Pre Earnings,1mo change,IV  Pre Earnings,IV Rank Pre Earnings,MMM pts Pre Earnings,MMM % Pre Earnings,Open Post,10am Post,Close Post,IV Post 10am,IV Rank Post 10am,IV Crush Post 10am,IV Crush Rank,Move pts Post 10am,Move %,Actual:Expected Move Open,Actual:Expected Move 10am,Actual:Expected Move Close
Conoco,COP,Basic Materials,2/1/18,Pre,58.81,0.0718,27.35,74.11,2.57,0.0437,59,59.08,59.35,25.58,62.24,-1.77,-11.87,0.27,0.0046,0.07,0.11,0.21
Chevron,CVX,Basic Materials,2/2/18,Pre,125.57,0.003,21.7,73.32,2.38,0.019,123.95,120.8,118.58,21.56,72.2,-0.14,-1.12,-4.77,-0.038,-0.68,-2,-2.94
Dow Chem,DWDP,Basic Materials,2/1/18,Pre,75.58,0.0604,22.81,71.78,1.81,0.0239,74.68,75.2,73.5,20.72,56.22,-2.09,-15.56,-0.38,-0.005,-0.5,-0.21,-1.15
Valero,VLO,Basic Materials,2/1/18,Pre,95.97,0.0445,36.55,100,2.24,0.0233,96.42,93.76,94.69,28.67,56.18,-7.88,-43.82,-2.22,-0.0231,0.2,-0.99,-0.57
Exxon Mobile,XOM,Basic Materials,2/2/18,Pre,89.07,0.0654,19.53,93.35,1.35,0.0152,85.13,84.25,84.53,19.43,92.34,-0.1,-1.01,-4.82,-0.0541,-2.92,-3.57,-3.36
Apple,AAPL,Consumer Goods,2/1/18,Post,167.78,-0.0086,30.75,85.34,6.21,0.037,166,163.5,160.5,25.46,62.74,-5.29,-22.6,-4.28,-0.0255,-0.29,-0.69,-1.17
Gopro,GPRO,Consumer Goods,2/1/18,Post,5.5,-0.2695,167.02,100,0.7,0.1273,5.27,5.36,5.55,73.79,22.78,-93.23,-77.22,-0.14,-0.0255,-0.33,-0.2,0.07
Mattel,MAT,Consumer Goods,2/1/18,Post,15.32,-0.0039,78.95,87.2,1.9,0.124,14.44,16.48,16.53,61.71,69.28,-17.24,-17.92,1.16,0.0757,-0.46,0.61,0.64
Altria,MO,Consumer Goods,2/1/18,Pre,70.34,-0.0144,22.27,48.23,1.51,0.0215,69.9,69.14,69.93,23.36,52.99,1.09,4.76,-1.2,-0.0171,-0.29,-0.79,-0.27
Sony,SNE,Consumer Goods,2/2/18,Pre,49.15,0.0934,34.57,95.3,2.4,0.0488,53,51.93,51.99,27.13,63.2,-7.44,-32.1,2.78,0.0566,1.6,1.16,1.18
Aflac,AFL,Financial,1/31/18,Post,88.2,0.0057,22.23,51.37,2.44,0.0277,88.58,89.48,89.69,18.77,33.12,-3.46,-18.25,1.28,0.0145,0.16,0.52,0.61
Mastercard,MA,Financial,2/1/18,Pre,169,0.1169,28.09,87.53,5.25,0.0311,172.51,172.82,172.93,22.93,59.17,-5.16,-28.36,3.82,0.0226,0.67,0.73,0.75
Paypal,PYPL,Financial,1/31/18,Post,85.32,0.1589,40.32,90.42,4.5,0.0527,79.95,78.12,78.4,34.48,70.48,-5.84,-19.94,-7.2,-0.0844,-1.19,-1.6,-1.54
Visa,V,Financial,2/1/18,Post,125.72,0.0999,25.31,66.13,3.92,0.0312,123.72,122.66,120.91,23.26,55.6,-2.05,-10.53,-3.06,-0.0243,-0.51,-0.78,-1.23
